Transaction_ID,User_ID,Transaction_Amount,Account_Age_Months,Number_of_Transactions_Last_24H,Previous_Fraudulent_Transactions,Device_Used,Location,Payment_Method,Transaction_Type,Fraudulent
1,1102,147.17760482885149,77,18,2,Tablet,USA,Credit Card,Purchase,0
2,1435,81.23297391581181,72,5,4,Tablet,UK,Crypto,Transfer,0
3,1860,31.474618836364897,87,19,3,Mobile,Unknown,Bank Transfer,Withdrawal,0
4,1270,154.1548949666165,43,15,2,Unknown,India,Credit Card,Withdrawal,0
5,1106,95.41840618989528,1,8,2,Mobile,India,Bank Transfer,Transfer,0
6,1071,149.51265247893846,109,17,3,Unknown,USA,Credit Card,Transfer,1
7,1700,36.222893648225316,51,1,4,Unknown,India,Debit Card,Withdrawal,0
8,1020,76.02499908184909,24,12,0,Desktop,USA,Credit Card,Withdrawal,0
9,1614,100.20974798872733,99,19,3,Desktop,USA,Bank Transfer,Purchase,0
10,1121,101.87922375058969,24,15,3,Mobile,UK,Crypto,Withdrawal,0
11,1466,81.99738114083026,17,9,3,Unknown,India,Crypto,Transfer,0
12,1214,124.91399729389995,5,7,2,Tablet,USA,Crypto,Purchase,0
13,1330,57.29518282469623,20,2,1,Desktop,UK,Credit Card,Transfer,0
14,1458,94.30482059914826,21,9,0,Tablet,Germany,Debit Card,Purchase,0
15,1087,104.81182526847596,104,10,4,Mobile,UK,Credit Card,Transfer,0
16,1372,120.57755336234996,58,2,4,Desktop,UK,Crypto,Withdrawal,0
17,1099,128.4645951235556,31,19,1,Desktop,USA,Bank Transfer,Transfer,0
18,1871,55.01431632648523,110,11,3,Unknown,Unknown,Crypto,Purchase,0
19,1663,38.63543317057511,100,13,0,Mobile,Unknown,Bank Transfer,Transfer,0
20,1130,151.10707287594036,11,10,4,Unknown,Unknown,Debit Card,Purchase,0
21,1661,113.29256047918366,52,14,4,Desktop,UK,Bank Transfer,Transfer,0
22,1308,70.06053853773786,15,18,3,Mobile,USA,Credit Card,Withdrawal,0
23,1769,162.04607902090092,83,19,1,Desktop,India,Credit Card,Withdrawal,0
24,1343,104.62698537171434,7,9,0,Mobile,UK,Credit Card,Transfer,0
25,1491,147.17188736255306,115,7,1,Desktop,UK,Bank Transfer,Transfer,0
26,1413,102.70073925640436,28,3,1,Tablet,USA,Credit Card,Transfer,0
27,1805,182.42991699527948,51,6,0,Tablet,Germany,Credit Card,Purchase,0
28,1385,170.21363369772817,107,2,0,Unknown,UK,Credit Card,Transfer,0
29,1191,90.04143406083706,58,6,4,Tablet,Germany,Debit Card,Transfer,0
30,1955,138.86283803817423,5,3,4,Desktop,Germany,Bank Transfer,Purchase,0
31,1276,125.8150379834059,5,16,0,Desktop,Unknown,Bank Transfer,Withdrawal,0
32,1160,154.74526230129396,94,8,2,Tablet,USA,Crypto,Transfer,0
33,1459,61.40306157679582,118,2,4,Unknown,Germany,Bank Transfer,Transfer,0
34,1313,127.44205839993757,96,17,2,Tablet,USA,Debit Card,Withdrawal,0
35,1021,142.33697947398352,8,9,0,Mobile,Unknown,Bank Transfer,Withdrawal,0
36,1252,29.650420543075427,64,12,4,Mobile,USA,Debit Card,Purchase,0
37,1747,52.669659493369,10,3,1,Mobile,UK,Debit Card,Transfer,0
38,1856,18.43071288959598,38,11,0,Tablet,Germany,Bank Transfer,Transfer,0
39,1560,89.2237266222177,111,1,3,Tablet,USA,Crypto,Purchase,0
40,1474,128.70169023183848,96,13,2,Tablet,India,Credit Card,Withdrawal,0
41,1058,160.0942820838411,112,15,0,Mobile,USA,Credit Card,Purchase,0
42,1510,102.96379121679101,92,5,0,Unknown,Germany,Bank Transfer,Withdrawal,0
43,1681,165.14462182285166,81,17,4,Desktop,Unknown,Bank Transfer,Purchase,0
44,1475,44.79594167140434,95,6,4,Tablet,Unknown,Debit Card,Withdrawal,0
45,1699,31.86470242579381,8,11,4,Unknown,Germany,Bank Transfer,Purchase,1
46,1975,97.77809204413525,104,18,3,Desktop,UK,Debit Card,Withdrawal,0
47,1782,115.3626179575723,25,4,4,Desktop,UK,Crypto,Withdrawal,0
48,1189,98.69221007623628,73,3,0,Desktop,Unknown,Bank Transfer,Withdrawal,0
49,1957,17.302315998404936,66,13,4,Unknown,Unknown,Credit Card,Withdrawal,0
50,1686,96.43519841948846,79,9,1,Unknown,Germany,Credit Card,Withdrawal,0
51,1957,47.821219979805875,50,6,4,Mobile,UK,Bank Transfer,Transfer,0
52,1562,126.78690195320154,67,12,3,Unknown,Unknown,Debit Card,Withdrawal,0
53,1875,114.66392984387393,49,2,1,Unknown,UK,Credit Card,Transfer,0
54,1566,62.40480854690579,36,3,0,Unknown,Unknown,Debit Card,Withdrawal,0
55,1243,79.44532330653226,68,3,0,Desktop,USA,Bank Transfer,Transfer,0
56,1831,57.63145912444194,78,12,2,Tablet,India,Bank Transfer,Transfer,0
57,1504,97.49283610907312,105,15,1,Mobile,USA,Credit Card,Purchase,0
58,1130,138.20569282004953,41,9,2,Tablet,Unknown,Bank Transfer,Withdrawal,0
59,1484,60.57095814657825,89,8,1,Tablet,India,Crypto,Purchase,0
60,1818,120.16186062071378,119,11,1,Unknown,India,Crypto,Purchase,0
61,1646,78.78969526510237,62,16,3,Mobile,Unknown,Credit Card,Withdrawal,0
62,1020,68.28508670950623,114,4,2,Tablet,Unknown,Crypto,Purchase,0
63,1840,95.71878560181769,10,1,3,Tablet,UK,Debit Card,Withdrawal,0
64,1166,58.59030710322504,21,7,1,Mobile,Unknown,Credit Card,Purchase,0
65,1273,77.85402778611271,36,2,0,Unknown,Germany,Credit Card,Withdrawal,0
66,1387,52.08488429644606,12,5,1,Tablet,Unknown,Debit Card,Withdrawal,0
67,1600,178.58900531665557,91,7,3,Desktop,Germany,Crypto,Withdrawal,0
68,1315,101.41054207886914,104,4,2,Tablet,Unknown,Crypto,Transfer,0
69,1013,72.01097968029657,2,5,2,Desktop,UK,Crypto,Purchase,0
70,1241,108.55919642936888,118,1,3,Unknown,Germany,Credit Card,Transfer,0
71,1776,95.50687801236681,13,1,2,Tablet,USA,Credit Card,Purchase,0
72,1345,91.16121601867108,53,15,4,Mobile,Germany,Crypto,Purchase,0
73,1564,124.56666800173701,32,19,0,Mobile,UK,Bank Transfer,Purchase,0
74,1897,130.3003084018922,95,10,0,Tablet,Germany,Crypto,Transfer,0
75,1339,78.7799540955789,16,18,0,Unknown,Unknown,Debit Card,Purchase,0
76,1091,76.9672703742128,32,3,2,Unknown,Unknown,Credit Card,Transfer,0
77,1366,88.99793211393424,32,11,2,Mobile,UK,Debit Card,Withdrawal,0
78,1955,10.0,98,15,1,Tablet,India,Debit Card,Purchase,0
79,1454,39.39235751205791,11,11,1,Unknown,Unknown,Credit Card,Purchase,0
80,1427,154.674970697781,10,17,0,Mobile,USA,Bank Transfer,Withdrawal,0
81,1508,165.79870854005134,15,17,4,Desktop,UK,Crypto,Withdrawal,0
82,1775,90.03855841774487,17,6,1,Tablet,Germany,Debit Card,Purchase,0
83,1942,123.06227852223066,40,5,1,Desktop,Germany,Credit Card,Withdrawal,0
84,1034,112.45000618174144,18,8,2,Desktop,USA,Debit Card,Transfer,0
85,1205,223.15523233820952,55,2,4,Unknown,Unknown,Crypto,Transfer,1
86,1080,144.78299645738306,73,16,0,Unknown,UK,Bank Transfer,Purchase,0
87,1931,94.88329634076933,25,12,1,Unknown,USA,Bank Transfer,Transfer,0
88,1561,61.77838237598297,104,6,4,Tablet,Unknown,Bank Transfer,Transfer,0
89,1871,35.74214718969711,59,1,4,Desktop,UK,Credit Card,Purchase,0
90,1387,108.13854543468892,78,4,0,Tablet,Germany,Credit Card,Withdrawal,0
91,1001,69.74597018862787,89,17,4,Unknown,UK,Bank Transfer,Purchase,0
92,1389,43.10985161609303,114,13,4,Desktop,India,Crypto,Transfer,0
93,1565,74.13708463029894,22,18,4,Tablet,UK,Crypto,Purchase,0
94,1105,56.7380798554242,116,5,1,Tablet,India,Credit Card,Purchase,0
95,1771,167.48566540290258,30,3,0,Mobile,UK,Bank Transfer,Transfer,0
96,1821,135.26559027797802,84,11,4,Tablet,India,Crypto,Transfer,0
97,1476,99.6810943473353,85,13,4,Unknown,Germany,Crypto,Purchase,0
98,1702,159.19776555560105,44,4,1,Tablet,Unknown,Crypto,Transfer,0
99,1401,103.09473230590473,32,14,0,Desktop,India,Credit Card,Transfer,0
100,1729,65.54863194686945,51,11,2,Tablet,India,Bank Transfer,Transfer,0
101,1555,160.9249630907863,46,10,1,Mobile,Germany,Debit Card,Transfer,0
102,1161,121.55640174738635,113,19,0,Desktop,India,Bank Transfer,Transfer,0
103,1201,58.510153826941746,21,18,4,Desktop,USA,Bank Transfer,Transfer,0
104,1957,92.38645287665567,99,6,0,Mobile,Germany,Credit Card,Withdrawal,0
105,1995,64.97526986460971,32,15,0,Unknown,USA,Crypto,Purchase,0
106,1269,44.688010761426554,94,10,0,Desktop,Germany,Crypto,Transfer,0
107,1862,137.04710190126565,119,5,2,Unknown,India,Credit Card,Purchase,0
108,1815,176.37666561880522,39,5,0,Desktop,USA,Credit Card,Withdrawal,0
109,1270,44.05729704723435,113,10,2,Desktop,India,Credit Card,Transfer,0
110,1455,122.51876946762283,12,5,4,Unknown,Germany,Credit Card,Purchase,0
